106,AMRX,-1.04%,2.77%,10.06%,-1.95%,35.61%,7.70%,3.70%,4.44%,1.25,1.50M,0.93,8.53,-4.05%,"1,398,064"
107,AMT,-2.50%,9.11%,16.78%,-10.87%,8.02%,14.22%,2.12%,2.60%,1.46,2.50M,1.06,209.50,-1.55%,"2,646,633"
108,AMTM,1.46%,-5.40%,-1.00%,-,-,-10.89%,3.88%,5.62%,2.40,2.51M,0.65,18.74,0.37%,"1,620,565"
109,AMX,-0.28%,-1.38%,0.56%,-11.13%,-23.54%,-0.14%,1.68%,2.29%,1.71,1.64M,2.30,14.29,0.78%,"3,777,299"
110,AMZN,6.68%,-3.29%,-7.87%,7.36%,15.47%,-6.24%,2.28%,3.29%,1.24,38.85M,0.80,205.71,1.21%,"31,075,204"
111,ANAB,14.25%,7.21%,22.93%,-52.08%,-24.58%,39.27%,9.99%,9.74%,1.50,990.41K,1.22,18.44,-1.44%,"1,206,474"
112,ANET,3.51%,-6.20%,-20.29%,-9.55%,14.17%,-21.34%,2.78%,4.32%,1.64,10.27M,0.76,86.94,-0.65%,"7,776,167"
113,ANF,-3.98%,-25.08%,-50.06%,-46.03%,-44.31%,-48.80%,4.59%,5.78%,1.73,2.39M,1.25,76.53,-3.54%,"2,986,360"
114,ANGO,7.84%,0.99%,18.65%,35.01%,84.42%,11.14%,3.36%,4.87%,1.00,683.79K,0.74,10.18,0.99%,"502,654"
115,AON,1.56%,1.01%,11.98%,14.15%,21.32%,10.30%,1.36%,1.78%,2.64,1.12M,0.75,396.14,0.76%,"839,229"
116,AOS,-1.37%,0.75%,-2.50%,-19.50%,-25.76%,-2.17%,1.68%,2.24%,2.44,1.40M,0.74,66.73,0.54%,"1,036,279"
117,APA,3.57%,-8.66%,2.00%,-16.67%,-38.40%,-9.53%,2.75%,4.68%,2.74,7.66M,0.78,20.89,0.24%,"5,972,480"
118,APD,0.46%,-5.25%,-0.00%,1.80%,24.49%,1.08%,1.36%,2.18%,1.92,1.52M,0.52,293.16,-0.10%,"790,198"
119,APG,2.35%,-3.16%,3.74%,7.81%,-2.64%,5.56%,2.35%,3.48%,1.55,1.49M,0.59,37.97,-1.12%,"883,363"
120,APGE,2.73%,19.54%,-15.16%,-31.73%,-40.05%,-11.94%,4.78%,7.64%,1.00,602.48K,2.14,39.89,-2.33%,"1,290,153"
